Control ID,Control,Control Description,Criticality,Domain,Framework (FK),Identifier,Implementation Guidance,Is Active,Mapped Controls,Type,Weight
1,Security Management Process - Risk Analysis,"Conduct an accurate and thorough assessment of the potential risks and vulnerabilities to the confidentiality, integrity, and availability of electronic protected health information held by the covered entity or business associate.",,Administrative Safeguards,9,164.308(a)(1)(ii)(A),"Implement policies and procedures to prevent, detect, contain, and correct security violations.",Yes,,,
2,Security Management Process - Risk Management,Implement security measures sufficient to reduce risks and vulnerabilities to a reasonable and appropriate level to comply with § 164.306(a).,,Administrative Safeguards,9,164.308(a)(1)(ii)(B),"Implement policies and procedures to prevent, detect, contain, and correct security violations.",Yes,,,
3,Security Management Process - Sanction Policy,Apply appropriate sanctions against workforce members who fail to comply with the security policies and procedures of the covered entity or business associate.,,Administrative Safeguards,9,164.308(a)(1)(ii)(C),"Implement policies and procedures to prevent, detect, contain, and correct security violations.",Yes,,,
4,Security Management Process - Information System Activity Review,"Implement procedures to regularly review records of information system activity, such as audit logs, access reports, and security incident tracking reports.",,Administrative Safeguards,9,164.308(a)(1)(ii)(D),"Implement policies and procedures to prevent, detect, contain, and correct security violations.",Yes,,,
5,Assigned Security Responsibility,Identify the security official who is responsible for the development and implementation of the policies and procedures required by this subpart for the covered entity or business associate.,,Administrative Safeguards,9,164.308(a)(2),Standard: Assigned security responsibility.,Yes,,,
6,Workforce Security - Authorization and/or Supervision,Implement procedures for the authorization and/or supervision of workforce members who work with electronic protected health information or in locations where it might be accessed.,,Administrative Safeguards,9,164.308(a)(3)(ii)(A),"Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those workforce members who do not have access under paragraph (a)(4) of this section from obtaining access to electronic protected health information.",Yes,,,
7,Workforce Security - Workforce Clearance Procedure,Implement procedures to determine that the access of a workforce member to electronic protected health information is appropriate.,,Administrative Safeguards,9,164.308(a)(3)(ii)(B),"Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those workforce members who do not have access under paragraph (a)(4) of this section from obtaining access to electronic protected health information.",Yes,,,
8,Workforce Security - Termination Procedures,"Implement procedures for terminating access to electronic protected health information when the employment of, or other arrangement with, a workforce member ends or as required by determinations made as specified in paragraph (a)(3)(ii)(B) of this section.",,Administrative Safeguards,9,164.308(a)(3)(ii)(C),"Implement policies and procedures to ensure that all members of its workforce have appropriate access to electronic protected health information, as provided under paragraph (a)(4) of this section, and to prevent those workforce members who do not have access under paragraph (a)(4) of this section from obtaining access to electronic protected health information.",Yes,,,
9,Information Access Management - Isolating Health Care Clearinghouse Function,"If a health care clearinghouse is part of a larger organization, the clearinghouse must implement policies and procedures that protect the electronic protected health information of the clearinghouse from unauthorized access by the larger organization.",,Administrative Safeguards,9,164.308(a)(4)(ii)(A),Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,Yes,,,
10,Information Access Management - Access Authorization,"Implement policies and procedures for granting access to electronic protected health information, for example, through access to a workstation, transaction, program, process, or other mechanism.",,Administrative Safeguards,9,164.308(a)(4)(ii)(B),Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,Yes,,,
11,Information Access Management - Access Establishment and Modification,"Implement policies and procedures that, based upon the covered entity's or the business associate's access authorization policies, establish, document, review, and modify a user's right of access to a workstation, transaction, program, or process.",,Administrative Safeguards,9,164.308(a)(4)(ii)(C),Implement policies and procedures for authorizing access to electronic protected health information that are consistent with the applicable requirements of subpart E of this part.,Yes,,,
12,Security Awareness and Training - Security Reminders,Periodic security updates.,,Administrative Safeguards,9,164.308(a)(5)(ii)(A),Implement a security awareness and training program for all members of its workforce (including management).,Yes,,,
13,Security Awareness and Training - Protection from Malicious Software,"Procedures for guarding against, detecting, and reporting malicious software.",,Administrative Safeguards,9,164.308(a)(5)(ii)(B),Implement a security awareness and training program for all members of its workforce (including management).,Yes,,,
14,Security Awareness and Training - Log-in Monitoring,Procedures for monitoring log-in attempts and reporting discrepancies.,,Administrative Safeguards,9,164.308(a)(5)(ii)(C),Implement a security awareness and training program for all members of its workforce (including management).,Yes,,,
15,Security Awareness and Training - Password Management,"Procedures for creating, changing, and safeguarding passwords.",,Administrative Safeguards,9,164.308(a)(5)(ii)(D),Implement a security awareness and training program for all members of its workforce (including management).,Yes,,,
16,Security Incident Procedures - Response and Reporting,"Identify and respond to suspected or known security incidents; mitigate, to the extent practicable, harmful effects of security incidents that are known to the covered entity or business associate; and document security incidents and their outcomes.",,Administrative Safeguards,9,164.308(a)(6)(ii),Standard: Security incident procedures. Implement policies and procedures to address security incidents.,Yes,,,
17,Contingency Plan - Data Backup Plan,Establish and implement procedures to create and maintain retrievable exact copies of electronic protected health information.,,Administrative Safeguards,9,164.308(a)(7)(ii)(A),"Standard: Contingency plan. Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Yes,,,
18,Contingency Plan - Disaster Recovery Plan,Establish (and implement as needed) procedures to restore any loss of data.,,Administrative Safeguards,9,164.308(a)(7)(ii)(B),"Standard: Contingency plan. Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Yes,,,
19,Contingency Plan - Emergency Mode Operation Plan,Establish (and implement as needed) procedures to enable continuation of critical business processes for protection of the security of electronic protected health information while operating in emergency mode.,,Administrative Safeguards,9,164.308(a)(7)(ii)(C),"Standard: Contingency plan. Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Yes,,,
20,Contingency Plan - Testing and Revision Procedures,Implement procedures for periodic testing and revision of contingency plans.,,Administrative Safeguards,9,164.308(a)(7)(ii)(D),"Standard: Contingency plan. Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Yes,,,
21,Contingency Plan - Applications and Data Criticality Analysis,Assess the relative criticality of specific applications and data in support of other contingency plan components.,,Administrative Safeguards,9,164.308(a)(7)(ii)(E),"Standard: Contingency plan. Establish (and implement as needed) policies and procedures for responding to an emergency or other occurrence (for example, fire, vandalism, system failure, and natural disaster) that damages systems that contain electronic protected health information.",Yes,,,
22,Evaluation,"Perform a periodic technical and nontechnical evaluation, based initially upon the standards implemented under this rule and, subsequently, in response to environmental or operational changes affecting the security of electronic protected health information, that establishes the extent to which a covered entity's or business associate's security policies and procedures meet the requirements of this subpart.",,Administrative Safeguards,9,164.308(a)(8),Standard: Evaluation.,Yes,,,
23,Business Associate Contracts - Written Contract or Other Arrangement,Document the satisfactory assurances required by paragraph (b)(1) or (b)(2) of this section through a written contract or other arrangement with the business associate that meets the applicable requirements of § 164.314(a).,,Administrative Safeguards,9,164.308(b)(3),"Business associate contracts and other arrangements. A covered entity may permit a business associate to create, receive, maintain, or transmit electronic protected health information on the covered entity's behalf only if the covered entity obtains satisfactory assurances, in accordance with § 164.314(a), that the business associate will appropriately safeguard the information.",Yes,,,
24,Facility Access Controls - Contingency Operations,Establish (and implement as needed) procedures that allow facility access in support of restoration of lost data under the disaster recovery plan and emergency mode operations plan in the event of an emergency.,,Physical Safeguards,9,164.310(a)(2)(i),"Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Yes,,,
25,Facility Access Controls - Facility Security Plan,"Implement policies and procedures to safeguard the facility and the equipment therein from unauthorized physical access, tampering, and theft.",,Physical Safeguards,9,164.310(a)(2)(ii),"Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Yes,,,
26,Facility Access Controls - Access Control and Validation Procedures,"Implement procedures to control and validate a person's access to facilities based on their role or function, including visitor control, and control of access to software programs for testing and revision.",,Physical Safeguards,9,164.310(a)(2)(iii),"Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Yes,,,
27,Facility Access Controls - Maintenance Records,"Implement policies and procedures to document repairs and modifications to the physical components of a facility which are related to security (for example, hardware, walls, doors, and locks).",,Physical Safeguards,9,164.310(a)(2)(iv),"Implement policies and procedures to limit physical access to its electronic information systems and the facility or facilities in which they are housed, while ensuring that properly authorized access is allowed.",Yes,,,
28,Workstation Use,"Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information.",,Physical Safeguards,9,164.310(b),"Implement policies and procedures that specify the proper functions to be performed, the manner in which those functions are to be performed, and the physical attributes of the surroundings of a specific workstation or class of workstation that can access electronic protected health information.",Yes,,,
29,Workstation Security,"Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authorized users.",,Physical Safeguards,9,164.310(c),"Implement physical safeguards for all workstations that access electronic protected health information, to restrict access to authorized users.",Yes,,,
30,Device and Media Controls - Disposal,"Implement policies and procedures to address the final disposition of electronic protected health information, and/or the hardware or electronic media on which it is stored.",,Physical Safeguards,9,164.310(d)(2)(i),"Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",Yes,,,
31,Device and Media Controls - Media Re-use,Implement procedures for removal of electronic protected health information from electronic media before the media are made available for re-use.,,Physical Safeguards,9,164.310(d)(2)(ii),"Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",Yes,,,
32,Device and Media Controls - Accountability,Maintain a record of the movements of hardware and electronic media and any person responsible therefore.,,Physical Safeguards,9,164.310(d)(2)(iii),"Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",Yes,,,
33,Device and Media Controls - Data Backup and Storage,"Create a retrievable, exact copy of electronic protected health information, when needed, before movement of equipment.",,Physical Safeguards,9,164.310(d)(2)(iv),"Implement policies and procedures that govern the receipt and removal of hardware and electronic media that contain electronic protected health information into and out of a facility, and the movement of these items within the facility.",Yes,,,
34,Access Control - Unique User Identification,Assign a unique name and/or number for identifying and tracking user identity.,,Technical Safeguards,9,164.312(a)(2)(i),Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in § 164.308(a)(4).,Yes,,,
35,Access Control - Emergency Access Procedure,Establish (and implement as needed) procedures for obtaining necessary electronic protected health information during an emergency.,,Technical Safeguards,9,164.312(a)(2)(ii),Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in § 164.308(a)(4).,Yes,,,
36,Access Control - Automatic Logoff,Implement electronic procedures that terminate an electronic session after a predetermined time of inactivity.,,Technical Safeguards,9,164.312(a)(2)(iii),Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in § 164.308(a)(4).,Yes,,,
37,Access Control - Encryption and Decryption,Implement a mechanism to encrypt and decrypt electronic protected health information.,,Technical Safeguards,9,164.312(a)(2)(iv),Implement technical policies and procedures for electronic information systems that maintain electronic protected health information to allow access only to those persons or software programs that have been granted access rights as specified in § 164.308(a)(4).,Yes,,,
38,Audit Controls,"Implement hardware, software, and/or procedural mechanisms that record and examine activity in information systems that contain or use electronic protected health information.",,Technical Safeguards,9,164.312(b),Standard: Audit controls.,Yes,,,
39,Integrity - Mechanism to Authenticate ePHI,Implement electronic mechanisms to corroborate that electronic protected health information has not been altered or destroyed in an unauthorized manner.,,Technical Safeguards,9,164.312(c)(2),Implement policies and procedures to protect electronic protected health information from improper alteration or destruction.,Yes,,,
40,Person or Entity Authentication,Implement procedures to verify that a person or entity seeking access to electronic protected health information is the one claimed.,,Technical Safeguards,9,164.312(d),Standard: Person or entity authentication.,Yes,,,
41,Transmission Security - Integrity Controls,Implement security measures to ensure that electronically transmitted electronic protected health information is not improperly modified without detection until disposed of.,,Technical Safeguards,9,164.312(e)(2)(i),Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,Yes,,,
42,Transmission Security - Encryption,Implement a mechanism to encrypt electronic protected health information whenever deemed appropriate.,,Technical Safeguards,9,164.312(e)(2)(ii),Implement technical security measures to guard against unauthorized access to electronic protected health information that is being transmitted over an electronic communications network.,Yes,,,
43,Business Associate Contracts - BA Contract Requirements,"The contract must provide that the business associate will— (A) Comply with the applicable requirements of this subpart; (B) In accordance with § 164.308(b)(2), ensure that any subcontractors that create, receive, maintain, or transmit electronic protected health information on behalf of the business associate agree to comply with the applicable requirements of this subpart by entering into a contract or other arrangement that complies with this section; and (C) Report to the covered entity any security incident of which it becomes aware, including breaches of unsecured protected health information as required by § 164.410.",,Organizational Requirements,9,164.314(a)(2),"§ 164.314(a)(1) Standard: Business associate contracts or other arrangements. The contract or other arrangement required by § 164.308(b)(3) must meet the requirements of paragraph (a)(2)(i), (a)(2)(ii), or (a)(2)(iii) of this section, as applicable.",Yes,,,
44,Group Health Plans - Group Health Plan Safeguards,"The plan documents of the group health plan must be amended to incorporate provisions to require the plan sponsor to— (i) Implement administrative, physical, and technical safeguards that reasonably and appropriately protect the confidentiality, integrity, and availability of the electronic protected health information that it creates, receives, maintains, or transmits on behalf of the group health plan; (ii) Ensure that the adequate separation required by § 164.504(f)(2)(iii) is supported by reasonable and appropriate security measures; (iii) Ensure that any agent to whom it provides this information agrees to implement reasonable and appropriate security measures to protect the information; and (iv) Report to the group health plan any security incident of which it becomes aware.",,Organizational Requirements,9,164.314(b)(2),"§ 164.314(b)(1) Standard: Requirements for group health plans. Except when the only electronic protected health information disclosed to a plan sponsor is disclosed pursuant to § 164.504(f)(1)(ii) or (iii), or as authorized under § 164.508, a group health plan must ensure that its plan documents provide that the plan sponsor will reasonably and appropriately safeguard electronic protected health information created, received, maintained, or transmitted to or by the plan sponsor on behalf of the group health plan.",Yes,,,
