Control ID,Control,Control Description,Criticality,Domain,Framework (FK),Identifier,Implementation Guidance,Is Active,Mapped Controls,Type,Weight
1,,"All security policies and operational procedures that are identified in Requirement 1 are: Documented, Kept up to date, In use, Known to all affected parties.",,Requirement 1: Install and Maintain Network Security Controls,7,1.1.1,"Requirement 1.1.1 is about effectively managing and maintaining the various policies and procedures specified throughout Requirement 1. While it is important to define the specific policies or procedures called out in Requirement 1, it is equally important to ensure they are properly documented, maintained, and disseminated. It is important to update policies and procedures as needed to address changes in processes, technologies, and business objectives. For these reasons, consider updating these documents as soon as possible after a change occurs and not only on a periodic cycle.",Yes,,,
2,,"Roles and responsibilities for performing activities in Requirement 1 are documented, assigned, and understood.",,Requirement 1: Install and Maintain Network Security Controls,7,1.1.2,"If roles and responsibilities are not formally assigned, personnel may not be aware of their day-to-day responsibilities and critical activities may not occur. Roles and responsibilities may be documented within policies and procedures or maintained within separate documents. As part of communicating roles and responsibilities, entities can consider having personnel acknowledge their acceptance and understanding of their assigned roles and responsibilities.",Yes,,,
3,,"Configuration standards for NSC rulesets are: Defined, Implemented, Maintained.",,Requirement 1: Install and Maintain Network Security Controls,7,1.2.1,"The implementation of these configuration standards results in the NSC being configured and managed to properly perform their securityfunction (often referred to as the ruleset). These standards often define the requirements for acceptable protocols, ports that are permitted tobe used, and specific configuration requirements that are acceptable. Configuration standards may also outline what the entity considers not acceptable or not permitted within its network.",Yes,,,
4,,All changes to network connections and to configurations of NSCs are: Approved and managed in accordance with the change control process defined at Requirement 6.5.1.,,Requirement 1: Install and Maintain Network Security Controls,7,1.2.2,"A structured change control process for all changes to NSCs reduces the risk that a change could introduce a security vulnerability. Changes should be approved by individuals with the appropriate authority and knowledge to understand the security impact of the change, and should provide reasonable assurance that the change will not impact the existing or required security of the NSC. Changes should not be implemented by individuals responsible for managing the network connections. All changes should be reviewed and verified prior to being implemented and verified to be approved by a qualified individual. In addition to confirming the change itself, network documentation and diagrams should be updated to reflect the change and the actual configuration.",Yes,,,
5,,An accurate network diagram(s) is maintained that shows all connections between the trusted and untrusted networks and any wireless networks.,,Requirement 1: Install and Maintain Network Security Controls,7,1.2.3,"An accurate and up-to-date network diagram prevents network connections and devices from being overlooked and unknowingly excluded from the security controls implemented for PCI DSS. A properly maintained network diagram helps the organization verify its PCI DSS scope and serves as a reference for clarifying the boundaries of the CDE. Entities should consider including the following in their network diagrams: all connections to and from the CDE regardless of whether the systems providing security-related services are in-scope system components; cardholder data flows, wireless networks, cloud providers; all sources of all network segments; all security services providing functionality including unique locations for each control; and all in-scope system components including firewalls, routers, wireless access points, load balancers, IDS/IPS, log aggregation systems, payment applications, and payment terminals. Clear labeling of any out-of-scope areas, date of last update, names of people that last updated the diagram, and a legend or key to explain the diagram should be included. Diagrams should be updated by authorized personnel and approved by management to provide an accurate description of the network.",Yes,,,
6,,An accurate data-flow diagram(s) is maintained that meets the following: Shows all account data flows across systems and networks.,,Requirement 1: Install and Maintain Network Security Controls,7,1.2.4,"An up-to-date, readily available data-flow diagram helps an organization understand and keep track of the scope of its environment by documenting account data flows across networks and between individual systems and devices. This helps to prevent account data from being overlooked and allows undiscovered data flows to be identified. The data-flow diagram should include all connection points where account data is received from or sent to other entities, including connections to open, public networks, application processing flows, storage, and transmissions between systems. The data-flow diagram is meant to be in addition to and augment the network diagram. As a best practice, entities should consider including in their data-flow diagrams: all distinct acceptance channels including e-commerce, card-not-present, and e-channels; all types of data receipt or transmission; the flow of account data from the point where data enters the environment to its final disposition; where account data is transmitted and processed; the sources of all account data received and outgoing transmissions and destinations; and date of last update and names of people that made and approved the updates.",Yes,,,
7,,"All services, protocols, and ports allowed are: Documented, Approved, and have a defined business need.",,Requirement 1: Install and Maintain Network Security Controls,7,1.2.5,"Compromises often happen due to unused or insecure services (for example, telnet and FTP), protocols, and ports, since these can lead to unnecessary points of entry into the CDE. Additionally, services, protocols, and ports that are not needed can lead to compromised and undetected vulnerabilities. By identifying the services, protocols, and ports that each NSC must use, the entity can ensure that any services, protocols, and ports not on that list are not permitted into or out of the network. The security risk associated with each service, protocol, and port allowed should be understood. Approving management should be aware of the business need and understand the risk involved with each service, protocol, and port, and each should have an explicit approval documented. Approving management should be independent of those managing the configuration.",Yes,,,
8,,"Security features are defined and implemented for all services, protocols, and ports that are in use and considered to be insecure, such that the risk is mitigated.",,Requirement 1: Install and Maintain Network Security Controls,7,1.2.6,"If insecure services, protocols, or ports are in use, they can take advantage of insecure network configurations. The security features associated with each service, protocol, or port should be directly linked to the relevant entity's risk assessment for that service, protocol, or port. If insecure services, protocols, or ports are necessary for business, the risk of using these services, protocols, or ports should be clearly understood and accepted by the organization, and security features should be defined and implemented by the entity to mitigate the risk of using these services, protocols, or ports. For guidance on services, protocols, or ports considered to be insecure, refer to industry standards and guidance (for example, from NIST, ENISA, OWASP).",Yes,,,
9,,Configurations of NSCs are reviewed at least once every six months to confirm they are relevant and effective.,,Requirement 1: Install and Maintain Network Security Controls,7,1.2.7,"This requirement gives the organization an opportunity to clean up any unneeded, outdated, or incorrect rules and configurations which could be used by malicious personnel. Furthermore, it ensures that all rules and configurations are current and aligned with current processes, technologies, and business objectives. The review can be implemented using manual, automated, or system-based methods. While this requirement specifies that this review should occur at least once every six months, organizations may wish to consider performing reviews more frequently to ensure that their network configurations remain in accordance with policy and business justifications. Any discrepancies or uncertainties about a rule or configuration should be resolved by consulting the change documentation and comparing the change documentation against the actual configuration.",Yes,,,
10,,"Configuration files for NSCs are: Secured from unauthorized access, Kept consistent with active network configurations.",,Requirement 1: Install and Maintain Network Security Controls,7,1.2.8,"Keeping the configuration information current and secured prevents unauthorized changes from being applied to the network, as stored files with configurations for network controls need to be kept consistent with active network configuration changes. Keeping configuration files secured from unauthorized access ensures the correct configuration is applied whenever the configuration is initialized. Configuration information for a router stored in non-volatile memory, when that router is restarted or rebooted, these controls should ensure that its secure configuration is applied whenever the configuration is initialized.",Yes,,,
11,,Inbound traffic to the CDE is restricted as follows: To only traffic that is necessary; All other traffic is specifically denied.,,Requirement 1: Install and Maintain Network Security Controls,7,1.3.1,"This requirement aims to prevent malicious individuals and compromised system components within the entity's network from communicating with external untrusted systems via unauthorized IP addresses or from using insecure services, protocols, or ports in an unauthorized direction. All traffic inbound to the CDE, regardless of where it comes from, should be evaluated. Implementing a rule that denies all inbound and outbound traffic that is not specifically needed—an implicit deny after allow statement—helps to prevent inadvertent misconfiguration that may allow traffic from untrusted networks to access the CDE. Implementing a rule that restricts source/destination addresses and ports to prevent potentially harmful traffic from entering or exiting the CDE.",Yes,,,
12,,Outbound traffic from the CDE is restricted as follows: To only traffic that is necessary; All other traffic is specifically denied.,,Requirement 1: Install and Maintain Network Security Controls,7,1.3.2,"This requirement aims to prevent malicious individuals and compromised system components within the entity's network from communicating with external untrusted systems via unauthorized IP addresses or from using insecure services, protocols, or ports in an unauthorized direction. All traffic outbound from the CDE, regardless of where it is going, should be evaluated. Implementing a rule that denies all outbound traffic that is not specifically needed allows for the identification of traffic that is specifically needed and allows for its explicit allowance. An implicit deny after allow statement helps to prevent inadvertent misconfiguration that may allow traffic from the CDE to reach untrusted networks by restricting source/destination addresses and ports to prevent potentially harmful traffic.",Yes,,,
13,,"NSCs are installed between all wireless networks and the CDE, such that: All wireless traffic from wireless networks into the CDE is denied by default; Only wireless traffic with an authorized business purpose is allowed into the CDE.",,Requirement 1: Install and Maintain Network Security Controls,7,1.3.3,"Whether or not wireless technology is currently being used, or the entity has no plans to implement wireless technology, exploitation of wireless technology is a common path for malicious individuals to gain access to the network and account data. If a wireless network or device is installed without the entity's knowledge, it could easily allow a malicious individual to enter the network. If NSCs do not restrict access from wireless networks into the CDE, malicious individuals that gain unauthorized access to the wireless network can easily connect to the CDE and compromise account information.",Yes,,,
14,,NSCs are implemented between trusted and untrusted networks.,,Requirement 1: Install and Maintain Network Security Controls,7,1.4.1,"Implementing NSCs at every connection coming to and from trusted and/or untrusted networks reduces the risk of a malicious individual gaining access to the entity's internal network and minimizes the chances of unauthorized connections. An example of a technology that manages connections between an untrusted network (for example, the Internet) and a trusted network is a DMZ, but that is separate from the entity's internal network and sometimes referred to as a perimeter network. Implementing NSCs at every connection protects the rest of the network in the event a single network or host becomes compromised.",Yes,,,
15,,"Inbound traffic from untrusted networks to trusted networks is restricted to: Communications with system components that are authorized to provide publicly accessible services, protocols, and ports; Stateful responses to communications initiated by system components in a trusted network; All other traffic is denied.",,Requirement 1: Install and Maintain Network Security Controls,7,1.4.2,"A system component that provides publicly accessible services to the outside (for example, email, web, DNS) is one that is at high risk for compromise. Separating such a system component into its own network segment, referred to as a DMZ, limits the exposure of the entity's internal network. System components that provide publicly accessible services and that need to be directly connected to the Internet are also sometimes referred to as bastion hosts. Where this functionality is provided as a built-in feature of the NSC, it should be verified that the functionality is active and properly configured. Having NSCs that deny all inbound traffic except specifically authorized connections reduces the risk of attacks from untrusted networks entering the entity's network.",Yes,,,
