Control ID,Control,Control Description,Criticality,Domain,Framework (FK),Identifier,Implementation Guidance,Is Active,Mapped Controls,Type,Weight
1,POLICY ON THE SECURITY OF NETWORK AND INFORMATION SYSTEMS,"A policy on the security of network and information systems shall set out the entity's approach to managing security; be appropriate to and complementary with business strategy and objectives; set out security objectives; include commitment to continual improvement and provision of necessary resources including staff, financial resources, processes, tools and technologies; be communicated to and acknowledged by relevant employees and external parties; lay down roles and responsibilities; list documentation to be retained and retention duration; list topic-specific policies; lay down indicators and measures to monitor implementation and maturity level; and indicate the date of formal approval by management bodies.",,POLICY ON THE SECURITY OF NETWORK AND INFORMATION SYSTEMS,45,1.1.1,"Establish a policy covering all systems, assets and procedures in scope and ensure relevant personnel and external parties acknowledge it through signed or digital acknowledgement, which may be included in employment or service contracts. Communicate the policy in relevant, accessible and understandable form; personnel may receive only relevant extracts or summaries according to their role without disclosure of confidential information. Ensure personnel are aware of their security responsibilities and that both the main policy and topic-specific policies are approved by appropriate management levels. Include detailed guidance on procedures for managing policy exceptions and take care not to disclose confidential information when distributing outside the entity.",Yes,,,
2,POLICY ON THE SECURITY OF NETWORK AND INFORMATION SYSTEMS,"The network and information system security policy shall be reviewed and, where appropriate, updated by management bodies at least annually and when significant incidents or significant changes to operations or risks occur. The result of the reviews shall be documented.",,POLICY ON THE SECURITY OF NETWORK AND INFORMATION SYSTEMS,45,1.1.2,"Review the policy on the security of network and information systems at least annually considering updates to risk assessment and risk treatment plan, changes in legislation, recommendations from authorities, changes in industry practices, feedback from interested parties, findings from compliance monitoring and independent reviews including policy violations or exceptions, and incidents affecting the entity or similar entities. Update the policy and topic-specific policies based on new findings affecting the entity's security approach, including updates to risk assessment and risk treatment plan, changes to network and information systems, changes to the operating environment, problems identified during implementation, findings from compliance monitoring and independent reviews, status of preventive and corrective actions, threat and vulnerability trends, and known security incidents. All updates shall be based on the entity's unique security risks identified through risk assessment. Obtain management body approval for revised policies and policy exceptions.",Yes,,,
3,"ROLES, RESPONSIBILITIES AND AUTHORITIES","As part of their policy on the security of network and information systems referred to in point 1.1, the relevant entities shall lay down responsibilities and authorities for network and information system security and assign them t. roles, allocate them according to the relevant entities’ needs and communicate them to the management bodies.",,POLICY ON THE SECURITY OF NETWORK AND INFORMATION SYSTEMS,45,1.2.1,"Write job descriptions in a way that clearly outlines rights and responsibilities. Assign security roles and responsibilities to personnel and include these roles in the organisational chart. Describe roles and assign corresponding responsibilities (e.g. chief information security officer), based on the guidance of international frameworks and standards, including the European cybersecurity skills framework (ECSF) (11). Ensure that the roles allocated are suitable for the size and business needs of the entity. Formally appoint competent personnel in security roles. Ensure that these assigned persons are competent on the basis of appropriate education, training or experience.",Yes,,,
4,"ROLES, RESPONSIBILITIES AND AUTHORITIES","The relevant entities shall require all personnel and third parties to apply network and information system security in accordance with the established network and information security policy, topic-specific policies and procedures of the relevant entities.",,POLICY ON THE SECURITY OF NETWORK AND INFORMATION SYSTEMS,45,1.2.2,"Make personnel aware of security roles in the entity and when to contact them, and of their security obligations according to their role. Make relevant external parties aware of their security obligations, considering third parties not directly involved in operations but that may affect security. Communicate security requirements in relevant, accessible and understandable form; the full policy, topic-specific policies and procedures do not necessarily need to be communicated in their entirety.",Yes,,,
5,"ROLES, RESPONSIBILITIES AND AUTHORITIES",At least one person shall report directly to the management bodies on matters of network and information system security.,,POLICY ON THE SECURITY OF NETWORK AND INFORMATION SYSTEMS,45,1.2.3,Appoint a person (e.g. chief information security officer or information security manager) responsible for overseeing network and information security matters. Make sure that this role is recognized and duly authorized by management bodies.,Yes,,,
6,"ROLES, RESPONSIBILITIES AND AUTHORITIES","Depending on the size of the relevant entities, network and information system security shall be covered by dedicated roles or duties carried out in addition to existing roles.",,POLICY ON THE SECURITY OF NETWORK AND INFORMATION SYSTEMS,45,1.2.4,"It is often practical to have dedicated information security roles (e.g. a chief information security officer or security analysts) who focus solely on protecting the entity’s data and systems. In entities with limited resources, information security responsibilities may be distributed among existing roles. For instance, information technology (IT) staff might take on security duties alongside their regular tasks. However, the persons assigned should have relevant experience and training to perform the roles and to exercise their responsibilities.",Yes,,,
7,"ROLES, RESPONSIBILITIES AND AUTHORITIES","Conflicting duties and conflicting areas of responsibility shall be segregated, where applicable.",,POLICY ON THE SECURITY OF NETWORK AND INFORMATION SYSTEMS,45,1.2.5,"Consider segregating conflicting duties and areas of responsibility to reduce opportunities for unauthorized or unintentional modification or misuse of the entity’s asset. As a minimum, consider that the reviewer (auditor) must be different from the personnel or the line of authority of the area under review. The results of the risk assessment or the business impact analysis (BIA) could be used to identify potential conflicting duties and areas of responsibility.",Yes,,,
8,"ROLES, RESPONSIBILITIES AND AUTHORITIES","Roles, responsibilities and authorities shall be reviewed and, where appropriate, updated by management bodies at planned intervals and when significant incidents or significant changes to operations or risks occur.",,POLICY ON THE SECURITY OF NETWORK AND INFORMATION SYSTEMS,45,1.2.6,"Regularly review and revise the structure of security roles and responsibilities, based on (indicative, non- exhaustive list):. significant incidents, if any;. changes to the environment of operation, including changes to the network and information systems;. organisational changes. Where appropriate, updates should be approved by management bodies.",Yes,,,
9,RISK MANAGEMENT FRAMEWORK,"For the purpose of Article 21(2), point (a) of Directive (EU) 2022/2555, the relevant entities shall establish and maintain an appropriate risk management framework to identify and address the risks posed to the security of network and information systems. The relevant entities shall perform and document risk assessments and, based on the results, establish, implement and monitor a risk treatment plan. Risk assessment results and residual risks (12) shall be accepted by management bodies or, where applicable, by persons who are accountable and have the authority to manage risks, provided that the relevant entities ensure adequate reporting to the management bodies.",,RISK MANAGEMENT POLICY,45,2.1.1,"Use a current or new risk management framework as a structured approach to identify, assess, manage and mitigate cybersecurity risks. Create a risk treatment plan that associates identified risks with assets and mitigating measures, including a description of each identified risk and its impact on security objectives, the chosen risk treatment option, associated assets, mitigating measures, procedures for assessing measure effectiveness, implementation timelines, and responsible roles. Consider residual risks from third parties including data breaches, unaddressed vulnerabilities, regulatory non-compliance and over-reliance on single third parties, and ensure residual risks are accepted by management bodies or appropriate accountable persons in line with acceptable residual risk levels. Obtain management body approval of risk assessment results and risk treatment plan.",Yes,,,
10,RISK MANAGEMENT FRAMEWORK,"Relevant entities shall establish procedures for identification, analysis, assessment and treatment of risks that are integral to the overall risk management process. Entities shall follow a risk management methodology, establish risk tolerance in accordance with risk appetite, establish and maintain relevant risk criteria, identify and document risks posed to network and information systems including those related to third parties and risks to availability, integrity, authenticity and confidentiality including single points of failure, analyse risks including threat, likelihood, impact and risk level with consideration of cyber threat intelligence and vulnerabilities, evaluate identified risks based on risk criteria, identify and prioritise appropriate risk treatment options and measures, continuously monitor implementation of risk treatment measures, identify responsibility and timelines for implementing measures, and document chosen risk treatment measures in a risk treatment plan with documented justification for acceptance of residual risks.",,RISK MANAGEMENT POLICY,45,2.1.2,"Select a risk management methodology and establish the entity's risk appetite as the amount of risk strategically willing to be accepted to achieve objectives, considering business strategic objectives, stakeholder expectations, regulatory requirements and organizational culture. Define risk tolerance level referring to risk willing to be accepted in pursuit of long-term objectives, such as acceptable downtime for critical systems, tolerance for data loss, maximum financial loss, investment percentage in measures, adherence to regulatory obligations, acceptable customer dissatisfaction levels, acceptance of certain vulnerabilities with mitigation measures, incident response timeframes, and acceptance of minor incidents as normal operations. Define risk acceptance criteria including accepting low severity risks, low likelihood risks, risks where mitigation cost exceeds potential impact, specific compliance risks with remediation plans, risks in low-criticality systems, vulnerabilities for defined periods pending remediation, risks with impact below financial thresholds, risks after stakeholder agreement, and residual risks where existing measures reduce likelihood or impact to acceptable levels. Define risk criteria for evaluating risk significance including alignment with risk appetite, regulatory and legal exposure prioritizing GDPR violations and compliance risks, reputational impact from media-attracting incidents, risk velocity from zero-day exploits, recovery complexity from legacy system attacks, emerging technology risks, and stakeholder sensitivity. Identify main risks to network and information systems considering main threats to assets in scope, associate each risk with risk treatment options and specific measures in line with risk assessment and policy, develop risk treatment plans addressing implementation details, and assign responsibilities to appropriate individuals or teams.",Yes,,,
