Framework_ID,Name,Framework_ID,INTERNAL - Release Wave,Category,Code,Description,Framework Type,Is Active,Last Update Date,Owner (Company),Published Date,Region Scope,Report Objectives,Sort Order,Source URL,VectraIQ_Supported,Version,N8N Content Generator
1,ISO/IEC 27001:2022 - Information Security Management,1,Wave 1,Cybersecurity Frameworks,ISO 27001,"ISO/IEC 27001:2022 is an international standard for establishing, implementing, maintaining, and continually improving an Information Security Management System (ISMS). It defines requirements for organizational context, leadership oversight, risk assessment and treatment processes, performance evaluation, and the implementation of security controls, including those listed in Annex A. Organizations select ISO 27001 when formalizing a structured security program, preparing for certification, or demonstrating systematic risk management to customers and regulators.",Risk Assessment,Yes,25-Oct-22,,25-Oct-22,Global,"This assessment evaluated the organization's Information Security Management System within the defined ISMS scope against ISO/IEC 27001:2022, including Clauses 4 through 10 and applicable Annex A controls, to assess conformity with mandatory requirements, effectiveness of risk assessment and risk treatment processes, adequacy of control selection and implementation, evidence of operational performance and monitoring, identification of nonconformities, and overall readiness for certification, surveillance, or continuous improvement.",1,https://www.iso.org/standard/82875.html,Yes,2022,1A - Generate 20 Questions
2,SOC 2 Type 1 - Point-in-Time Controls Audit,2,Wave 1,Cloud & Service Provider Frameworks,SOC 2 Type 1,"SOC 2 Type 1 is an AICPA attestation framework that evaluates whether a service organization�s controls are suitably designed to meet the Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy as of a specific date. It focuses on control design rather than operating effectiveness over time. Organizations select SOC 2 Type 1 when preparing for customer assurance requirements or beginning a structured compliance program.",Risk Assessment,Yes,1-Jan-24,,,United States,"This assessment evaluated the design of controls relevant to the applicable AICPA Trust Services Criteria for Security, Availability, Processing Integrity, Confidentiality, and Privacy as of a specified point in time within the defined system boundary to determine whether controls were suitably designed to meet the stated control objectives and to identify design gaps or deficiencies requiring remediation prior to a formal SOC 2 Type 1 examination.",2,https://www.aicpa.org/interestareas/frc/assuranceadvisoryservices/aicpasoc2report.html,Yes,Current,
3,SOC 2 Type 2 - Operational Effectiveness Audit,3,Wave 1,Cloud & Service Provider Frameworks,SOC 2 Type 2,SOC 2 Type 2 is an AICPA attestation framework that evaluates both the design and operating effectiveness of controls relevant to the Trust Services Criteria over a defined audit period. It assesses whether controls are consistently implemented and functioning as intended. Organizations select SOC 2 Type 2 to demonstrate sustained control performance and provide independent assurance to customers and stakeholders.,Risk Assessment,Yes,1-Jan-24,,,United States,"This assessment evaluated both the design and operating effectiveness of controls relevant to the applicable AICPA Trust Services Criteria over the defined review period and system scope to determine whether controls were consistently implemented, evidenced, and functioning as intended, to identify deviations or control failures, and to assess overall readiness for a formal SOC 2 Type 2 examination.",3,https://www.aicpa.org/interestareas/frc/assuranceadvisoryservices/aicpasoc2report.html,Yes,Current,
4,CIS Controls v8 - Implementation Group 2,4,Wave 1,Cybersecurity Frameworks,CIS v8 IG2,"CIS Controls v8 Implementation Group 2 provides a prioritized set of cybersecurity safeguards designed for organizations facing moderate risk and complexity. It builds upon foundational safeguards and introduces additional controls focused on threat detection, vulnerability management, access control maturity, and operational security practices. Organizations select Implementation Group 2 to strengthen defensive capabilities beyond baseline security and align with widely recognized best practices.",Risk Assessment,Yes,1-Sep-23,,########,Global,"This assessment evaluated the organization's cybersecurity control environment against CIS Controls v8 Implementation Group 2 within the defined scope to assess coverage of prioritized safeguards for moderate-risk environments, maturity of control implementation, consistency of operational execution, alignment with threat-informed defense practices, and identification of control gaps requiring risk-based remediation.",4,https://www.cisecurity.org/controls/cis-controls-list,Yes,v8,
5,CIS Controls v8 - Implementation Group 1,5,Wave 1,Cybersecurity Frameworks,CIS v8 IG1,"CIS Controls v8 Implementation Group 1 defines essential cybersecurity safeguards intended for organizations with limited resources or lower complexity environments. It emphasizes foundational protections such as asset inventory, secure configuration, access control, and basic vulnerability management. Organizations select Implementation Group 1 to establish a structured baseline of cyber hygiene aligned with common threat mitigation practices.",Risk Assessment,Yes,1-Sep-23,,########,Global,"This assessment evaluated the organization's foundational cybersecurity safeguards against CIS Controls v8 Implementation Group 1 within the defined scope to determine baseline control coverage, adequacy of essential technical and procedural safeguards, alignment with common threat mitigation practices, and identification of fundamental control deficiencies requiring remediation.",5,https://www.cisecurity.org/controls/cis-controls-list,Yes,v8,
6,NIST CSF v2.0 - Cybersecurity Framework,6,Wave 1,Cybersecurity Frameworks,NIST CSF v2.0,"NIST Cybersecurity Framework version 2.0 is a risk-based framework organized around six Core Functions: Govern, Identify, Protect, Detect, Respond, and Recover. It provides outcome-focused guidance for managing cybersecurity risk and integrating governance, risk management, and operational security activities. Organizations select NIST CSF to assess overall cybersecurity maturity, align security strategy with enterprise risk management, and structure continuous improvement initiatives.",Risk Assessment,Yes,########,,########,Global,"This assessment evaluated the organization's cybersecurity program against the NIST Cybersecurity Framework v2.0 Core Functions of Govern, Identify, Protect, Detect, Respond, and Recover within the defined scope to assess alignment with CSF outcomes and categories, evaluate governance integration and risk management maturity, identify systemic control gaps and risk concentrations, and provide a structured, risk-informed improvement roadmap.",6,https://www.nist.gov/cyberframework,Yes,2,
7,PCI DSS v4.0 - Payment Card Industry Data Security Standard,7,Wave 1,Payment Security,PCI DSS v4.0,"PCI DSS v4.0 is a global security standard governing the protection of cardholder data within payment processing environments. It defines technical and procedural requirements related to network security, encryption, access control, vulnerability management, logging, and security monitoring. Organizations that store, process, or transmit payment card data select PCI DSS to assess compliance readiness and reduce risk within their cardholder data environment.",Risk Assessment,Yes,########,,########,Global,"This assessment evaluated the organization's cardholder data environment and related security controls against PCI DSS v4.0 requirements within the defined scope to assess implementation of technical and procedural safeguards, validation of control design and operational effectiveness, identification of requirement-level gaps, and readiness for formal assessment by a Qualified Security Assessor.",7,https://www.pcisecuritystandards.org/document_library,No,4,
8,CMMC Level 1 - Foundational Cybersecurity Practices,8,Wave 1,Cybersecurity Frameworks,CMMC L1,"CMMC Level 1 establishes foundational cybersecurity practices required for organizations handling Federal Contract Information. It aligns with basic safeguarding requirements derived from federal acquisition regulations and focuses on essential access control, identification, and system protection practices. Organizations select CMMC Level 1 to demonstrate compliance with minimum federal cybersecurity requirements and prepare for contractual assessments.",Risk Assessment,Yes,1-Jan-24,,4-Nov-21,United States,"This assessment evaluated the organization's implementation of CMMC Level 1 foundational practices within the defined scope to determine adherence to required security practices for protection of Federal Contract Information, assess control implementation consistency, identify unmet practice requirements, and evaluate readiness for third-party CMMC assessment.",8,https://dodcio.defense.gov/CMMC/,No,2,
9,HIPAA Security Rule - Health Insurance Portability and Accountability Act,9,Wave 1,Healthcare Compliance,HIPAA,"HIPAA establishes regulatory requirements for protecting the confidentiality, integrity, and availability of protected health information. It includes administrative, physical, and technical safeguard requirements under the Security Rule and privacy protections under the Privacy Rule. Healthcare providers, business associates, and related entities select HIPAA assessments to evaluate regulatory compliance, strengthen PHI protection controls, and reduce enforcement risk.",Risk Assessment,Yes,1-Jan-23,,########,United States,"This assessment evaluated the organization's administrative, physical, and technical safeguards for the protection of protected health information against applicable HIPAA Security Rule and related Privacy Rule requirements within the defined scope to assess regulatory alignment, effectiveness of risk analysis and risk management processes, identification of safeguard deficiencies, and exposure to compliance and enforcement risk.",9,https://www.hhs.gov/hipaa/index.html,No,1996,
10,ISO/IEC 27001:2013 - Information Security Management,10,Wave 1,Cybersecurity Frameworks,ISO 27001:2013,"ISO/IEC 27001:2013 is the previous edition of the international standard for implementing and maintaining an Information Security Management System. It defines requirements for risk management, leadership oversight, performance evaluation, and control implementation based on Annex A safeguards. Organizations maintaining certification under the 2013 version or transitioning to the 2022 revision select this framework to assess conformity and support continued compliance.",Risk Assessment,Yes,25-Oct-22,,1-Oct-13,Global,"This assessment evaluated the organization's Information Security Management System within the defined ISMS scope against ISO/IEC 27001:2013, including Clauses 4 through 10 and applicable Annex A controls, to assess conformity with standard requirements, effectiveness of risk treatment activities, adequacy of control implementation and monitoring, identification of nonconformities, and readiness for certification or continued compliance.",10,https://www.iso.org/standard/54534.html,Yes,2013,
11,Financial Industry Regulatory Authority Rules and Standards,11,Wave 2,Financial Regulations,FINRA Rules,"FINRA rules and regulatory standards govern broker-dealers and securities firms operating in the United States. They establish requirements for supervisory controls, cybersecurity practices, recordkeeping, market conduct, and risk management oversight. Organizations subject to FINRA oversight select this framework to evaluate regulatory compliance readiness, strengthen supervisory systems, and prepare for examination or enforcement review.",Risk Assessment,Yes,1-Mar-24,,30-Jul-07,United States,"This assessment evaluated the organization's supervisory controls, compliance program, recordkeeping practices, cybersecurity safeguards, and operational governance against applicable FINRA rules and regulatory notices within the defined scope to assess adequacy of supervisory systems, effectiveness of control implementation, identification of rule-level gaps, and readiness for regulatory examination or enforcement scrutiny.",11,https://www.finra.org/rules-guidance/rulebooks,No,N/A,
12,Bank Secrecy Act,12,Wave 2,Financial Regulations,BSA,"The Bank Secrecy Act establishes anti-money laundering and financial crime prevention requirements for financial institutions. It mandates customer due diligence, transaction monitoring, suspicious activity reporting, and governance oversight controls. Organizations select this framework to assess AML program effectiveness, regulatory compliance posture, and exposure to financial crime enforcement risk.",Risk Assessment,Yes,1-Jun-23,,26-Oct-70,United States,"This assessment evaluated the organization's anti-money laundering program, customer due diligence controls, transaction monitoring mechanisms, suspicious activity reporting processes, and governance oversight against applicable Bank Secrecy Act requirements within the defined scope to determine regulatory alignment, effectiveness of detection and reporting controls, identification of compliance gaps, and exposure to financial crime and enforcement risk.",12,https://www.fincen.gov/resources/statutes-regulations/bank-secrecy-act,No,N/A,
13,Sarbanes-Oxley Act of 2002,13,Wave 2,Financial Regulations,SOX,"Sarbanes-Oxley establishes requirements for internal controls over financial reporting, executive accountability, IT general controls, and audit oversight for publicly traded companies. It emphasizes documentation, segregation of duties, change management, and control testing. Organizations select SOX assessments to evaluate financial control design, identify material weaknesses, and prepare for external audit validation.",Risk Assessment,Yes,1-Jan-23,,30-Jul-02,United States,"This assessment evaluated the organization's internal controls over financial reporting, IT general controls, segregation of duties, change management, access governance, and executive certification processes against applicable Sarbanes-Oxley requirements within the defined scope to assess control design and operating effectiveness, identify material weaknesses or significant deficiencies, and support audit and regulatory readiness.",13,https://www.govinfo.gov/content/pkg/PLAW-107publ204/html/PLAW-107publ204.htm,No,2002,
14,23 NYCRR 500 - New York Cybersecurity Regulation,14,Wave 2,Financial Regulations,23 NYCRR 500,"23 NYCRR 500 is a cybersecurity regulation issued by the New York Department of Financial Services that requires covered financial institutions to implement a risk-based cybersecurity program, governance oversight, incident reporting procedures, and third-party risk management controls. Organizations select this framework to assess regulatory compliance readiness and strengthen cybersecurity governance in alignment with DFS requirements.",Risk Assessment,Yes,1-Nov-23,,1-Mar-17,United States,"This assessment evaluated the organization's cybersecurity program, governance structure, risk assessment methodology, incident response capability, third-party risk management practices, and technical safeguards against 23 NYCRR 500 requirements within the defined scope to assess regulatory alignment, identify control and documentation gaps, and determine readiness for Department of Financial Services examination and certification obligations.",14,https://www.dfs.ny.gov/industry_guidance/cybersecurity,No,2023,
15,NIST SP 800-171 - Protecting CUI in Nonfederal Systems,15,Wave 2,Cybersecurity Frameworks,NIST 800-171,"NIST SP 800-171 defines security requirements for protecting Controlled Unclassified Information in nonfederal systems and organizations. It outlines 110 security requirements across fourteen control families covering access control, configuration management, incident response, and system integrity. Organizations handling federal data select this framework to evaluate compliance readiness and safeguard CUI under contractual obligations.",Risk Assessment,Yes,########,,########,United States,"This assessment evaluated the organization's implementation of the 110 security requirements across the fourteen control families of NIST SP 800-171 within the defined scope to assess protection of Controlled Unclassified Information, validate control implementation and documentation, identify unmet requirements, and determine readiness for contractual attestation or assessment.",15,https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-171r3.pdf,Yes,Rev. 3,
